1.12.2,24-02-2024,320,DOC-531 Approfondito UC6,Oseliero Antonio,Carraro Riccardo
1.12.1,20-02-2024,300,DOC-504 Uso delle variabili per riferirsi ai documenti,Gardin Giovanni,Carraro Riccardo
1.12.0,15-02-2024,268,DOC-416 Inserire tracciamento casi d'uso-requisiti,Banzato Alessio,Carraro Riccardo
1.11.13,11-02-2024,243,DOC-400 Specificare le informazioni necessarie al collegamento con il database UC6.1,Carraro Riccardo,Gardin Giovanni
1.11.12,11-02-2024,236,DOC-411 Specificare zoom della visuale UC-11.3,Banzato Alessio,Nardo Silvio
1.11.11,11-02-2024,234,DOC-410 Specificare rotazione della visuale UC-11.2,Banzato Alessio,Nardo Silvio
1.11.10,11-02-2024,226,DOC-409 Specificare spostamento della visuale UC-11.1,Banzato Alessio,Gardin Giovanni
1.11.9,09-02-2024,222,DOC-406 Specificare informazioni visualizzate UC8,Banzato Alessio,Nardo Silvio
1.11.8,09-02-2024,240,DOC-412 Aggiunta redazione di manuale d'uso ai requisiti di qualità,Gardin Giovanni,Banzato Alessio
1.11.7,08-02-2024,233,DOC-392 Inserita versione Glossario nel documento Analisi dei Requisiti,Oseliero Antonio,Gardin Giovanni
1.11.6,07-02-2024,218,DOC-395 Specificati i valori che possono essere modificati durante la modifica di uno scaffale,Nardo Silvio,Gardin Giovanni
1.11.5,06-02-2024,218,DOC-395 Specificati i valori che possono essere modificati durante la modifica di uno scaffale,Nardo Silvio,Banzato Alessio
1.11.4,06-02-2024,225,DOC-393 Specificati i valori di interesse relativi al ridimensionamento dell'ambiente di lavoro,Nardo Silvio,Banzato Alessio
1.11.3,06-02-2024,224,DOC-408 Specificare informazioni visualizzate UC-9,Banzato Alessio,Nardo Silvio
1.11.2,06-02-2024,223,DOC-407 Modificare interrogazione con visualizzazione UC-9,Banzato Alessio,Nardo Silvio
1.11.1,06-02-2024,221,DOC-405 Modificare interrogazione con visualizzazione UC-8,Banzato Alessio,Nardo Silvio
1.11.0,06-02-2024,220,DOC-397 Specificato più dettagliatamente l'UC-4.2,Nardo Silvio,Banzato Alessio
1.10.10,06-02-2024,218,DOC-395 Specificati i valori che possono essere modificati durante la modifica di uno scaffale,Nardo Silvio,Banzato Alessio
1.10.9,06-02-2024,219,DOC 396 Specificato più dettagliatamente l'UC-4.1,Nardo Silvio,Banzato Alessio
1.10.8,05-02-2024,216,DOC-414 Ridefinire VM2 come requisito funzionale,Banzato Alessio,Gardin Giovanni
1.10.7,05-02-2024,216,DOC-413 Ridefinire VM1 come requisito funzionale,Banzato Alessio,Gardin Giovanni
1.10.6,05-02-2024,217,DOC-394 Specificare dati necessari alla creazione dello scaffale UC-3.1,Banzato Alessio,Nardo Silvio
1.10.5,04-02-2024,212,DOC-386 Corretto totale requisiti funzionali,Gardin Giovanni,Zaccone Rosario
1.10.4,16-01-2024,191,DOC-372 Estensione UC-4,Oseliero Antonio,Zaccone Rosario
1.10.3,16-01-2024,191,DOC-371 Estensione UC-3,Oseliero Antonio,Zaccone Rosario
1.10.2,16-01-2024,191,DOC-371 Estensione UC-3,Oseliero Antonio,Carraro Riccardo
1.10.1,16-01-2024,179,DOC-352 Correzione UC-1 e UC-2,Oseliero Antonio,Carraro Riccardo
